Rank,Name,Age,YTD,Singles,Doubles,Career
1,Carlos Alcaraz,22,21354778.0,21354778.0,0.0,60032046.0
2,Jannik Sinner,24,19120641.0,19114396.0,6245.0,56632426.0
3,Alexander Zverev,28,7468230.0,7384324.0,83906.0,58134592.0
4,Novak Djokovic,38,5140175.0,5127245.0,12930.0,191252375.0
5,Felix Auger-Aliassime,25,5820031.0,5786377.0,33654.0,20229563.0
6,Taylor Fritz,28,5938539.0,5919347.0,19192.0,28896292.0
7,Alex de Minaur,26,6666087.0,6616603.0,49484.0,22526270.0
8,Lorenzo Musetti,23,6345640.0,6176026.0,169614.0,14166004.0
9,Ben Shelton,23,5672734.0,5528128.0,144606.0,11197426.0
10,Jack Draper,24,3446994.0,3421704.0,25290.0,8443805.0
11,Alexander Bublik,28,3084445.0,3031579.0,52866.0,10771942.0
12,Casper Ruud,27,3971374.0,3947549.0,23825.0,26807809.0
13,Daniil Medvedev,29,3512178.0,3505933.0,6245.0,48820721.0
14,Alejandro Davidovich Fokina,26,3404529.0,3363815.0,40714.0,10689945.0
15,Holger Rune,22,3340029.0,3333784.0,6245.0,15209776.0
16,Andrey Rublev,28,3610136.0,3485060.0,125076.0,31306132.0
17,Karen Khachanov,29,3307201.0,3170381.0,136820.0,21607377.0
18,Jiri Lehecka,24,2684487.0,2596590.0,87897.0,7092295.0
19,Jakub Mensik,20,3126711.0,3052560.0,74151.0,4680106.0
20,Tommy Paul,28,2351622.0,2334222.0,17400.0,12572314.0
21,Francisco Cerundolo,27,2683442.0,2580508.0,102934.0,8745333.0
22,Flavio Cobolli,23,2718529.0,2623372.0,95157.0,5099053.0
23,Denis Shapovalov,26,2043079.0,2018950.0,24129.0,14399177.0
24,Joao Fonseca,19,1769740.0,1757191.0,12549.0,2592310.0
25,Luciano Darderi,23,1749423.0,1625078.0,124345.0,3155792.0
26,Tallon Griekspoor,29,1904549.0,1790038.0,114511.0,6914505.0
27,Cameron Norrie,30,2015212.0,1972588.0,42624.0,13738332.0
28,Learner Tien,20,2309803.0,2245561.0,64242.0,3028887.0
29,Arthur Rinderknech,30,2363389.0,2312833.0,50556.0,6036568.0
30,Frances Tiafoe,27,2114536.0,2069592.0,44944.0,15583132.0
31,Valentin Vacherot,27,1953312.0,1945447.0,7865.0,2338735.0
32,Tomas Machac,25,2347618.0,2161964.0,185654.0,5659097.0
33,Jaume Munar,28,1935134.0,1795515.0,139619.0,6697366.0
34,Corentin Moutet,26,1549136.0,1531711.0,17425.0,5568741.0
35,Brandon Nakashima,24,2112032.0,2040627.0,71405.0,6750479.0
36,Stefanos Tsitsipas,27,2208778.0,2174910.0,33868.0,36211925.0
37,Ugo Humbert,27,1647011.0,1635293.0,11718.0,10021604.0
38,Alex Michelsen,21,1685043.0,1464284.0,220759.0,3724541.0
39,Arthur Fils,21,1509191.0,1464031.0,45160.0,5944702.0
40,Lorenzo Sonego,30,1863836.0,1661931.0,201905.0,9227898.0
41,Gabriel Diallo,24,1755135.0,1694023.0,61112.0,2637327.0
42,Zizou Bergs,26,1435594.0,1382401.0,53193.0,2909238.0
43,Alexandre Muller,28,1539373.0,1421571.0,117802.0,3789541.0
44,Grigor Dimitrov,34,1753525.0,1735659.0,17866.0,31045068.0
45,Sebastian Baez,25,1456361.0,1389186.0,67175.0,5881488.0
46,Daniel Altmaier,27,1483733.0,1481497.0,2236.0,4806363.0
47,Nuno Borges,28,1694475.0,1530329.0,164146.0,4298081.0
48,Sebastian Korda,25,1376445.0,1182353.0,194092.0,8277494.0
49,Camilo Ugo Carabelli,26,1193740.0,1107687.0,86053.0,2045959.0
50,Jenson Brooksby,25,1153180.0,1123768.0,29412.0,3289485.0
51,Miomir Kecmanovic,26,1382732.0,1323725.0,59007.0,8108760.0
52,Reilly Opelka,28,1212298.0,1206053.0,6245.0,5710657.0
53,Alexei Popyrin,26,1839584.0,1707310.0,132274.0,8608253.0
54,Fabian Marozsan,26,1445209.0,1396753.0,48456.0,3683928.0
55,Marton Fucsovics,33,841447.0,841447.0,0.0,8087833.0
56,Matteo Berrettini,29,1222092.0,1178756.0,43336.0,13740670.0
