Rank,Player,YTD,Singles,Doubles,Career
1,"Djokovic, Novak",15952044,15936097,15947,180643353
2,"Alcaraz, Carlos",15196504,15196504,0,27026147
3,"Medvedev, Daniil",11548023,11548023,0,38148405
4,"Sinner, Jannik",10456264,10405251,51013,17043434
5,"Rublev, Andrey",6571890,6203527,368363,21555350
6,"Zverev, Alexander",5643764,5539326,104438,38548820
7,"Tsitsipas, Stefanos",5489110,5336859,152251,28620740
8,"Rune, Holger",4946875,4924364,22511,7953353
9,"Hurkacz, Hubert",4803644,4705395,98249,13634122
10,"Fritz, Taylor",4019217,3923569,95648,14081358
11,"Ruud, Casper",3473277,3447195,26082,16526514
12,"de Minaur, Alex",3382465,3291391,91074,11223939
13,"Dimitrov, Grigor",3176526,3137978,38548,25135270
14,"Khachanov, Karen",2985349,2668214,317135,15211374
15,"Tiafoe, Frances",2956630,2880094,76536,10208806
16,"Paul, Tommy",2931013,2866093,64920,6640984
17,"Shelton, Ben",2513275,2323394,189881,2796667
18,"Cerundolo, Francisco",2292728,2216286,76442,3852638
19,"Musetti, Lorenzo",2199588,2146772,52816,4909753
20,"Davidovich Fokina, Alejandro",2191519,2152466,39053,5713734
21,"Norrie, Cameron",2181535,2089231,92304,10132007
22,"Mannarino, Adrian",1967649,1886777,80872,11588282
23,"Jarry, Nicolas",1959815,1925489,34326,4381788
24,"Struff, Jan-Lennard",1739214,1701464,37750,9445243
25,"Auger-Aliassime, Felix",1734514,1637948,96566,11938111
26,"Korda, Sebastian",1727356,1686722,40634,4403925
27,"Humbert, Ugo",1698273,1678103,20170,5060986
28,"Lehecka, Jiri",1690526,1603119,87407,2642860
29,"McDonald, Mackenzie",1656389,1468275,188114,5347957
30,"Bublik, Alexander",1653590,1570556,83034,5895243
31,"Griekspoor, Tallon",1636208,1500660,135548,3198810
32,"Evans, Daniel",1609462,1519445,90017,7893720
33,"Coric, Borna",1574516,1569364,5152,11687272
34,"Etcheverry, Tomas Martin",1544942,1438980,105962,2236278
35,"Karatsev, Aslan",1496201,1463565,32636,4864351
36,"Eubanks, Christopher",1455211,1384763,70448,2620900
37,"Popyrin, Alexei",1355482,1300830,54652,3956031
38,"Baez, Sebastian",1346450,1252472,93978,2593937
39,"Sonego, Lorenzo",1313408,1270396,43012,5631707
40,"Djere, Laslo",1313279,1286152,27127,5234216
41,"van de Zandschulp, Botic",1292756,1093151,199605,3782609
42,"Nishioka, Yoshihito",1269979,1224203,45776,5668415
43,"Salisbury, Joe",1255887,0,1255887,5137244
44,"Ram, Rajeev",1254982,0,1254982,9322780
45,"Krajicek, Austin",1245247,0,1245247,3410444
46,"Fils, Arthur",1241204,1203404,37800,1346555
47,"Wawrinka, Stan",1227892,1185643,42249,36558554
48,"Altmaier, Daniel",1215139,1192030,23109,2427631
