player name,age,YTD,singles,doubles
Carlos Alcaraz,22,21354778.0,21354778.0,0.0
Jannik Sinner,24,19120641.0,19114396.0,6245.0
Jannik Sinner,23,16946149.0,16914035.0,32114.0
Novak Djokovic,28,16760145.0,16706125.0,54020.0
Andy Murray,29,16349701.0,16327821.0,21880.0
Rafael Nadal,33,16349586.0,16349586.0,0.0
Novak Djokovic,31,15967184.0,15934672.0,32512.0
Novak Djokovic,36,15952044.0,15936097.0,15947.0
Rafael Nadal,31,15864000.0,15851340.0,12660.0
Carlos Alcaraz,20,15196504.0,15196504.0,0.0
Novak Djokovic,29,14138824.0,14130464.0,8360.0
Novak Djokovic,32,13372355.0,13277228.0,95127.0
Roger Federer,36,13054856.0,13054856.0,0.0
Daniil Medvedev,27,11548023.0,11548023.0,0.0
Jannik Sinner,22,10456264.0,10405251.0,51013.0
Novak Djokovic,35,9934582.0,9934582.0,0.0
Carlos Alcaraz,21,9850338.0,9850338.0,0.0
Alexander Zverev,27,8995103.0,8839406.0,155697.0
Roger Federer,38,8716975.0,8716975.0,0.0
Alexander Zverev,21,8706298.0,8566914.0,139384.0
Rafael Nadal,32,8663347.0,8663347.0,0.0
Roger Federer,37,8629233.0,8629233.0,0.0
Dominic Thiem,26,8000223.0,7836322.0,163901.0
Daniil Medvedev,23,7902912.0,7833320.0,69592.0
Carlos Alcaraz,19,7655130.0,7627613.0,27517.0
Stefanos Tsitsipas,21,7488927.0,7272204.0,216723.0
Alexander Zverev,28,7468230.0,7384324.0,83906.0
Rafael Nadal,36,7442076.0,7440806.0,1270.0
Taylor Fritz,27,7006195.0,6915586.0,90609.0
Casper Ruud,24,6942316.0,6930042.0,12274.0
Stan Wawrinka,31,6856954.0,6849059.0,7895.0
Alex de Minaur,26,6666087.0,6616603.0,49484.0
Roger Federer,34,6634017.0,6624892.0,9125.0
Grigor Dimitrov,26,6608510.0,6575244.0,33266.0
Andrey Rublev,26,6571890.0,6203527.0,368363.0
Juan Martin del Potro,30,6486251.0,6445766.0,40485.0
Andy Murray,28,6486230.0,6456153.0,30077.0
Lorenzo Musetti,23,6345640.0,6176026.0,169614.0
Taylor Fritz,28,5938539.0,5919347.0,19192.0
Felix Auger-Aliassime,25,5820031.0,5786377.0,33654.0
Ben Shelton,23,5672734.0,5528128.0,144606.0
Stefanos Tsitsipas,24,5648416.0,5479442.0,168974.0
Alexander Zverev,26,5643764.0,5539326.0,104438.0
Daniil Medvedev,28,5615756.0,5573010.0,42746.0
Milos Raonic,25,5588492.0,5562684.0,25808.0
Kevin Anderson,32,5491352.0,5457699.0,33653.0
Stefanos Tsitsipas,25,5489110.0,5336859.0,152251.0
Stan Wawrinka,30,5336877.0,5299265.0,37612.0
Marin Cilic,30,5187148.0,5187148.0,0.0
Novak Djokovic,38,5140175.0,5127245.0,12930.0
Alexander Zverev,20,5108998.0,5006313.0,102685.0
Casper Ruud,26,5065307.0,5010351.0,54956.0
Holger Rune,20,4946875.0,4924364.0,22511.0
Kei Nishikori,26,4806748.0,4804963.0,1785.0
Hubert Hurkacz,26,4803644.0,4705395.0,98249.0
Dominic Thiem,25,4624646.0,4556745.0,67901.0
Taylor Fritz,25,4570481.0,4489807.0,80674.0
Novak Djokovic,37,4421915.0,4421915.0,0.0
Dominic Thiem,24,4345626.0,4283907.0,61719.0
John Isner,33,4320641.0,4046875.0,273766.0
Alexander Zverev,22,4280635.0,4143723.0,136912.0
Andrey Rublev,25,4229954.0,4106247.0,123707.0
Felix Auger-Aliassime,22,4186042.0,4107342.0,78700.0
Daniil Medvedev,26,4178524.0,4146312.0,32212.0
Andrey Rublev,27,4130816.0,4067753.0,63063.0
Alex de Minaur,25,4080046.0,4041718.0,38328.0
Marin Cilic,29,4063738.0,4004923.0,58815.0
Kei Nishikori,29,4049255.0,4044388.0,4867.0
Taylor Fritz,26,4019217.0,3923569.0,95648.0
Casper Ruud,27,3971374.0,3947549.0,23825.0
David Goffin,27,3904676.0,3890613.0,14063.0
Andrey Rublev,28,3610136.0,3485060.0,125076.0
Stefanos Tsitsipas,26,3528424.0,3392603.0,135821.0
Daniil Medvedev,29,3512178.0,3505933.0,6245.0
Karen Khachanov,22,3496854.0,3336360.0,160494.0
Nick Kyrgios,27,3490464.0,2916349.0,574115.0
Marin Cilic,28,3475205.0,3405427.0,69778.0
Casper Ruud,25,3473277.0,3447195.0,26082.0
Jack Draper,24,3446994.0,3421704.0,25290.0
Matteo Berrettini,23,3439783.0,3363218.0,76565.0
Hubert Hurkacz,25,3419164.0,3011575.0,407589.0
Jack Sock,25,3406573.0,3149419.0,257154.0
Alejandro Davidovich Fokina,26,3404529.0,3363815.0,40714.0
Alex de Minaur,24,3382465.0,3291391.0,91074.0
Gael Monfils,30,3372418.0,3372418.0,0.0
Holger Rune,22,3340029.0,3333784.0,6245.0
Karen Khachanov,29,3307201.0,3170381.0,136820.0
Rafael Nadal,29,3275888.0,3188513.0,87375.0
Grigor Dimitrov,33,3186056.0,3169105.0,16951.0
Grigor Dimitrov,32,3176526.0,3137978.0,38548.0
Dominic Thiem,23,3152363.0,3047118.0,105245.0
Tomas Berdych,30,3128082.0,3090921.0,37161.0
Jakub Mensik,20,3126711.0,3052560.0,74151.0
Stan Wawrinka,32,3100512.0,3083829.0,16683.0
Alexander Bublik,28,3084445.0,3031579.0,52866.0
David Ferrer,33,3065755.0,3043627.0,22128.0
Borna Coric,22,3026481.0,3015356.0,11125.0
Pablo Carreno Busta,26,3009359.0,2843305.0,166054.0
Karen Khachanov,27,2985349.0,2668214.0,317135.0
Frances Tiafoe,25,2956630.0,2880094.0,76536.0
Tommy Paul,27,2940923.0,2912091.0,28832.0
Tommy Paul,26,2931013.0,2866093.0,64920.0
Cameron Norrie,27,2928356.0,2846575.0,81781.0
Gael Monfils,33,2916587.0,2901347.0,15240.0
Roberto Bautista Agut,31,2911522.0,2911522.0,0.0
Fabio Fognini,32,2895013.0,2796971.0,98042.0
Jordan Thompson,30,2893246.0,1683840.0,1209406.0
Pablo Carreno Busta,31,2885865.0,2842960.0,42905.0
Kevin Anderson,31,2857945.0,2842345.0,15600.0
Jannik Sinner,21,2855466.0,2818491.0,36975.0
Rafael Nadal,30,2836500.0,2714278.0,122222.0
Ugo Humbert,26,2817088.0,2767446.0,49642.0
David Goffin,29,2764933.0,2694717.0,70216.0
Jack Draper,23,2745025.0,2707707.0,37318.0
Hubert Hurkacz,27,2729808.0,2701708.0,28100.0
Frances Tiafoe,26,2729135.0,2699718.0,29417.0
Flavio Cobolli,23,2718529.0,2623372.0,95157.0
Lorenzo Musetti,22,2715979.0,2646694.0,69285.0
Kei Nishikori,25,2712055.0,2702325.0,9730.0
Holger Rune,21,2707145.0,2673232.0,33913.0
Jiri Lehecka,24,2684487.0,2596590.0,87897.0
Francisco Cerundolo,27,2683442.0,2580508.0,102934.0
Alexander Zverev,25,2678178.0,2585002.0,93176.0
Tomas Berdych,31,2612055.0,2583756.0,28299.0
Denis Shapovalov,23,2595551.0,2409460.0,186091.0
Stefanos Tsitsipas,20,2585667.0,2519614.0,66053.0
Juan Martin del Potro,29,2580301.0,2547354.0,32947.0
Karen Khachanov,28,2519587.0,2413465.0,106122.0
Ben Shelton,21,2513275.0,2323394.0,189881.0
Diego Schwartzman,27,2468031.0,2154554.0,313477.0
Ben Shelton,22,2403182.0,2222233.0,180949.0
Sam Querrey,30,2402827.0,2232149.0,170678.0
Holger Rune,19,2384089.0,2335215.0,48874.0
Arthur Rinderknech,30,2363389.0,2312833.0,50556.0
Tommy Paul,28,2351622.0,2334222.0,17400.0
Tomas Machac,25,2347618.0,2161964.0,185654.0
Alexei Popyrin,25,2336806.0,2301802.0,35004.0
David Goffin,26,2321606.0,2302109.0,19497.0
Learner Tien,20,2309803.0,2245561.0,64242.0
Francisco Cerundolo,25,2292728.0,2216286.0,76442.0
Karen Khachanov,23,2285081.0,2097841.0,187240.0
Jo-Wilfried Tsonga,31,2265379.0,2217645.0,47734.0
Arthur Fils,20,2259048.0,2174206.0,84842.0
Stefanos Tsitsipas,27,2208778.0,2174910.0,33868.0
Denis Shapovalov,20,2207015.0,2010869.0,196146.0
Kyle Edmund,23,2199984.0,2142514.0,57470.0
Lorenzo Musetti,21,2199588.0,2146772.0,52816.0
Matteo Berrettini,26,2193774.0,2183648.0,10126.0
Alejandro Davidovich Fokina,24,2191519.0,2152466.0,39053.0
Sebastian Korda,24,2185286.0,1902107.0,283179.0
Cameron Norrie,28,2181535.0,2089231.0,92304.0
Kei Nishikori,30,2173244.0,2144457.0,28787.0
Richard Gasquet,29,2146835.0,2136995.0,9840.0
Stan Wawrinka,34,2128925.0,2089648.0,39277.0
Grigor Dimitrov,28,2117523.0,2092433.0,25090.0
Novak Djokovic,30,2116524.0,2083741.0,32783.0
Frances Tiafoe,27,2114536.0,2069592.0,44944.0
Brandon Nakashima,24,2112032.0,2040627.0,71405.0
Frances Tiafoe,24,2106104.0,2032406.0,73698.0
Andy Murray,30,2092625.0,2071625.0,21000.0
Fabio Fognini,31,2088249.0,1926978.0,161271.0
Nikoloz Basilashvili,26,2070214.0,2023705.0,46509.0
Marin Cilic,27,2063576.0,2033973.0,29603.0
Alex de Minaur,23,2057316.0,1990039.0,67277.0
Jack Sock,26,2052053.0,738747.0,1313306.0
Diego Schwartzman,26,2051157.0,1891302.0,159855.0
Denis Shapovalov,26,2043079.0,2018950.0,24129.0
Lucas Pouille,23,2041133.0,1953511.0,87622.0
Tomas Machac,24,2018074.0,1800531.0,217543.0
Cameron Norrie,30,2015212.0,1972588.0,42624.0
Diego Schwartzman,30,2004231.0,1863280.0,140951.0
Nicolas Mahut,34,1991798.0,869846.0,1121952.0
Karen Khachanov,26,1985393.0,1889330.0,96063.0
Alex de Minaur,20,1979782.0,1895709.0,84073.0
Marin Cilic,34,1971088.0,1955408.0,15680.0
Adrian Mannarino,35,1967649.0,1886777.0,80872.0
Jo-Wilfried Tsonga,30,1963690.0,1936220.0,27470.0
Nicolas Jarry,28,1959815.0,1925489.0,34326.0
Valentin Vacherot,27,1953312.0,1945447.0,7865.0
Roberto Bautista Agut,28,1947666.0,1905873.0,41793.0
Jaume Munar,28,1935134.0,1795515.0,139619.0
Nick Kyrgios,22,1925500.0,1787646.0,137854.0
Tallon Griekspoor,29,1904549.0,1790038.0,114511.0
Kevin Anderson,29,1874052.0,1790131.0,83921.0
Lorenzo Sonego,30,1863836.0,1661931.0,201905.0
Jo-Wilfried Tsonga,32,1857015.0,1843647.0,13368.0
Alexei Popyrin,26,1839584.0,1707310.0,132274.0
John Isner,32,1836954.0,1707550.0,129404.0
Francisco Cerundolo,26,1818980.0,1686753.0,132227.0
Grigor Dimitrov,27,1818849.0,1781443.0,37406.0
Pablo Carreno Busta,27,1817782.0,1661863.0,155919.0
Nicolas Jarry,29,1806343.0,1721544.0,84799.0
Roberto Bautista Agut,34,1804064.0,1787924.0,16140.0
Tomas Berdych,32,1803545.0,1782871.0,20674.0
Nick Kyrgios,21,1802892.0,1757289.0,45603.0
Roberto Bautista Agut,29,1794937.0,1753055.0,41882.0
Daniel Evans,32,1790187.0,1612801.0,177386.0
Milos Raonic,28,1784657.0,1783442.0,1215.0
John Isner,34,1781798.0,1709328.0,72470.0
Albert Ramos-Vinolas,29,1781770.0,1643204.0,138566.0
Felix Auger-Aliassime,24,1780879.0,1753111.0,27768.0
Fabio Fognini,28,1779408.0,1200275.0,579133.0
John Isner,30,1776682.0,1699342.0,77340.0
Lucas Pouille,22,1771577.0,1673930.0,97647.0
Joao Fonseca,19,1769740.0,1757191.0,12549.0
Alejandro Tabilo,27,1768245.0,1648299.0,119946.0
Max Purcell,26,1763725.0,773141.0,990584.0
Tallon Griekspoor,28,1763220.0,1570029.0,193191.0
Sebastian Baez,24,1760418.0,1683092.0,77326.0
