"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"1        Murray, Andy                        $16,349,701 $16,327,821    $21,880 $58,715,019"
"2        Djokovic, Novak                     $14,138,824 $14,130,464     $8,360$107,688,878"
"3        Wawrinka, Stan                       $6,856,954 $6,849,059      $7,895 $27,804,631"
"4        Raonic, Milos                        $5,588,492 $5,562,684     $25,808 $14,394,667"
"5        Nishikori, Kei                       $4,806,748 $4,804,963      $1,785 $16,132,374"
"6        Cilic, Marin                         $3,475,205 $3,405,427     $69,778 $16,855,537"
"7        Monfils, Gael                        $3,372,418 $3,372,418          $0 $12,701,019"
"8        Thiem, Dominic                       $3,152,363 $3,047,118    $105,245 $5,161,869"
"9        Nadal, Rafael                        $2,836,500 $2,714,278    $122,222 $78,724,627"
"10       Berdych, Tomas                       $2,612,055 $2,583,756     $28,299 $26,416,606"
"11       Goffin, David                        $2,321,606 $2,302,109     $19,497 $5,090,519"
"12       Tsonga, Jo-Wilfried                  $2,265,379 $2,217,645     $47,734 $18,951,854"
"13       Mahut, Nicolas                       $1,991,798    $869,846 $1,121,952 $7,423,552"
"14       Bautista Agut, Roberto               $1,947,666 $1,905,873     $41,793 $5,635,995"
"15       Kyrgios, Nick                        $1,802,892 $1,757,289     $45,603 $3,589,419"
"16       Pouille, Lucas                       $1,771,577 $1,673,930     $97,647 $2,473,023"
"17       Sock, Jack                           $1,743,433 $1,220,799    $522,634 $4,765,205"
"18       Lopez, Feliciano                     $1,706,435 $1,068,604    $637,831 $12,908,258"
"19       Dimitrov, Grigor                     $1,650,268 $1,617,502     $32,766 $7,475,466"
"20       Isner, John                          $1,603,763 $1,392,559    $211,204 $10,730,509"
"21       Cuevas, Pablo                        $1,531,975 $1,270,475    $261,500 $5,181,747"
"22       Federer, Roger                       $1,527,269 $1,527,269          $0 $98,830,825"
"23       Herbert, Pierre-Hugues               $1,453,304    $405,112 $1,048,192 $2,830,416"
"24       Ferrer, David                        $1,374,484 $1,356,929     $17,555 $29,730,348"
"25       Zverev, Alexander                    $1,371,329 $1,324,084     $47,245 $1,932,630"
"26       Carreno Busta, Pablo                 $1,362,033    $990,823   $371,210 $2,736,933"
"27       Gasquet, Richard                     $1,325,659 $1,302,037     $23,622 $14,810,563"
"28       Karlovic, Ivo                        $1,272,678 $1,267,349      $5,329 $8,120,303"
"29       Simon, Gilles                        $1,258,309 $1,209,501     $48,808 $11,769,181"
"30       Ramos-Vinolas, Albert                $1,239,704 $1,180,393     $59,311 $3,643,951"
"31       Granollers, Marcel                   $1,238,119    $867,769   $370,350 $8,505,616"
"32       Troicki, Viktor                      $1,233,410 $1,092,008    $141,402 $7,070,901"
"33       Tomic, Bernard                       $1,174,235 $1,085,126     $89,109 $4,776,168"
"34       Johnson, Steve                       $1,131,315 $1,015,212    $116,103 $3,226,068"
"35       Querrey, Sam                         $1,113,882 $1,008,633    $105,249 $7,574,679"
"36       Klizan, Martin                       $1,110,537 $1,051,512     $59,025 $3,893,487"
"37       Sousa, Joao                          $1,084,465    $977,038   $107,427 $3,520,281"
"38       Baghdatis, Marcos                      $981,918    $948,524    $33,394 $7,634,483"
"39       Soares, Bruno                          $977,659          $0   $977,659  $3,828,751"
"40       Kohlschreiber, Philipp                 $970,369    $915,345    $55,024 $9,526,354"
"41       Murray, Jamie                          $966,990          $0   $966,990 $2,769,610"
"42       Ram, Rajeev                            $923,408    $390,750   $532,658 $3,544,911"
"43       del Potro, Juan Martin                 $923,279    $902,365    $20,914 $16,292,702"
"44       Paire, Benoit                          $921,993    $844,929    $77,064 $4,062,237"
""
"Page 1 of 109                       Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
