"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"1        Federer, Roger                              $111,885,682     $13,054,856     $13,054,856            $0"
"2        Djokovic, Novak                             $109,805,403      $2,116,524      $2,083,741       $32,783"
"3        Nadal, Rafael                                $94,588,627     $15,864,000     $15,851,340       $12,660"
"4        Murray, Andy                                 $60,807,644      $2,092,625      $2,071,625       $21,000"
"5        Sampras, Pete                                $43,280,489              $0              $0            $0"
"6        Agassi, Andre                                $31,152,975              $0              $0            $0"
"7        Wawrinka, Stan                               $30,905,144      $3,100,512      $3,083,829       $16,683"
"8        Ferrer, David                                $30,796,561      $1,066,211      $1,046,695       $19,516"
"9        Berdych, Tomas                               $28,220,153      $1,803,545      $1,782,871       $20,674"
"10       Becker, Boris                                $25,080,956              $0              $0            $0"
"11       Kafelnikov, Yevgeny                          $23,883,797              $0              $0            $0"
"12       Lendl, Ivan                                  $21,262,417              $0              $0            $0"
"13       Cilic, Marin                                 $20,919,276      $4,063,738      $4,004,923       $58,815"
"14       Tsonga, Jo-Wilfried                          $20,808,869      $1,857,015      $1,843,647       $13,368"
"15       Hewitt, Lleyton                              $20,787,586              $0              $0            $0"
"16       Roddick, Andy                                $20,640,030              $0              $0            $0"
"17       Edberg, Stefan                               $20,630,941              $0              $0            $0"
"18       Ivanisevic, Goran                            $19,878,007              $0              $0            $0"
"19       Chang, Michael                               $19,145,632              $0              $0            $0"
"20       del Potro, Juan Martin                       $18,873,003      $2,580,301      $2,547,354       $32,947"
"21       Nishikori, Kei                               $17,624,129      $1,491,755      $1,485,482        $6,273"
"22       Davydenko, Nikolay                           $16,186,480              $0              $0            $0"
"23       Gasquet, Richard                             $15,840,750      $1,030,186      $1,020,777        $9,409"
"24       Raonic, Milos                                $15,804,114      $1,409,446      $1,405,103        $4,343"
"25       Kuerten, Gustavo                             $14,807,000              $0              $0            $0"
"26       Bryan, Bob                                   $14,695,822        $539,237              $0      $539,237"
"27       Lopez, Feliciano                             $14,640,010      $1,731,751      $1,303,087      $428,664"
"28       Bjorkman, Jonas                              $14,610,671              $0              $0            $0"
"29       Verdasco, Fernando                           $14,490,880      $1,399,586      $1,221,155      $178,431"
"30       Bryan, Mike                                  $14,470,642        $539,237              $0      $539,237"
"31       Safin, Marat                                 $14,373,291              $0              $0            $0"
"32       Dimitrov, Grigor                             $14,083,976      $6,608,510      $6,575,244       $33,266"
"33       Courier, Jim                                 $14,034,132              $0              $0            $0"
"34       Ferrero, Juan Carlos                         $13,998,165          $5,269              $0        $5,269"
"35       Youzhny, Mikhail                             $13,863,808        $489,264        $461,710       $27,554"
"36       Monfils, Gael                                $13,744,378      $1,043,358      $1,021,555       $21,803"
"37       Haas, Tommy                                  $13,609,987        $296,381        $261,904       $34,477"
"38       Moya, Carlos                                 $13,443,970              $0              $0            $0"
"39       Robredo, Tommy                               $13,172,359        $274,902        $232,308       $42,594"
"40       Nestor, Daniel                               $12,739,415        $209,878              $0      $209,878"
"41       Stich, Michael                               $12,595,128              $0              $0            $0"
"42       Isner, John                                  $12,567,465      $1,836,954      $1,707,550      $129,404"
"43       McEnroe, John                                $12,552,132              $0              $0            $0"
"44       Simon, Gilles                                $12,475,521        $706,338        $666,044       $40,294"
""
"Page 1 of 531                     Statistics/ Prize Money/ Career           Report as of Dec 5, 2017"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career         YTD           Singles     Doubles"
"45       Muster, Thomas                               $12,266,977             $0              $0            $0"
