"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles     Doubles           Career"
"1        Djokovic, Novak                               $15,967,184 $15,934,672    $32,512 $125,772,589"
"2        Zverev, Alexander                              $8,706,298 $8,566,914    $139,384 $15,747,928"
"3        Nadal, Rafael                                  $8,663,347 $8,663,347          $0 $103,251,975"
"4        Federer, Roger                                 $8,629,233 $8,629,233          $0 $120,514,916"
"5        del Potro, Juan Martin                         $6,486,251 $6,445,766     $40,485 $25,359,003"
"6        Anderson, Kevin                                $5,491,352 $5,457,699     $33,653 $15,732,933"
"7        Cilic, Marin                                   $5,187,148 $5,187,148          $0 $26,106,425"
"8        Thiem, Dominic                                 $4,624,646 $4,556,745     $67,901 $14,132,144"
"9        Isner, John                                    $4,320,641 $4,046,875    $273,766 $16,888,108"
"10       Nishikori, Kei                                 $4,049,255 $4,044,388      $4,867 $21,673,386"
"11       Khachanov, Karen                               $3,496,854 $3,336,360    $160,494   $5,345,535"
"12       Coric, Borna                                   $3,026,481 $3,015,356     $11,125   $5,631,859"
"13       Tsitsipas, Stefanos                            $2,585,667 $2,519,614     $66,053   $2,936,678"
"14       Edmund, Kyle                                   $2,199,984  $2,142,514    $57,470   $4,317,977"
"15       Fognini, Fabio                                 $2,088,249 $1,926,978    $161,271 $11,425,274"
"16       Basilashvili, Nikoloz                          $2,070,214 $2,023,705     $46,509   $3,479,870"
"17       Sock, Jack                                     $2,052,053    $738,747 $1,313,306 $10,273,781"
"18       Schwartzman, Diego                             $2,051,157 $1,891,302    $159,855   $5,064,725"
"19       Dimitrov, Grigor                               $1,818,849 $1,781,443     $37,406 $15,902,694"
"20       Carreno Busta, Pablo                           $1,817,782 $1,661,863    $155,919   $7,564,077"
"21       Raonic, Milos                                  $1,784,657 $1,783,442      $1,215 $17,588,771"
"22       Bryan, Mike                                    $1,778,177          $0 $1,778,177 $16,248,813"
"23       Goffin, David                                  $1,737,921 $1,720,860     $17,061 $10,813,075"
"24       Bautista Agut, Roberto                         $1,725,352 $1,717,622      $7,730   $9,156,286"
"25       Medvedev, Daniil                               $1,665,414 $1,645,300     $20,114   $2,604,780"
"26       Verdasco, Fernando                             $1,654,378 $1,473,493    $180,885 $16,145,181"
"27       Chung, Hyeon                                   $1,588,383 $1,550,978     $37,405   $3,275,423"
"28       Herbert, Pierre-Hugues                         $1,563,924    $848,674   $715,250   $5,585,112"
"29       Cecchinato, Marco                              $1,505,180 $1,439,736     $65,444   $2,243,639"
"30       Shapovalov, Denis                              $1,500,033 $1,461,155     $38,878   $2,328,946"
"31       Gasquet, Richard                               $1,381,694 $1,366,584     $15,110 $17,222,444"
"32       Pouille, Lucas                                 $1,339,275 $1,260,218     $79,057   $5,853,432"
"33       Kohlschreiber, Philipp                         $1,287,751 $1,226,421     $61,330 $12,024,679"
"34       Monfils, Gael                                  $1,269,851 $1,245,866     $23,985 $15,014,229"
"35       Struff, Jan-Lennard                            $1,267,772    $918,302   $349,470   $3,645,292"
"36       de Minaur, Alex                                $1,252,959 $1,229,030     $23,929   $1,486,516"
"37       Dzumhur, Damir                                 $1,243,088 $1,108,420    $134,668   $3,423,959"
"38       Sousa, Joao                                    $1,233,370 $1,033,433    $199,937   $5,530,254"
"39       Mannarino, Adrian                              $1,195,942  $1,115,101    $80,841   $5,954,111"
"40       Haase, Robin                                   $1,195,354    $942,335   $253,019   $6,464,527"
"41       Lopez, Feliciano                               $1,190,793    $824,652   $366,141 $15,830,804"
"42       Querrey, Sam                                   $1,186,361 $1,028,867    $157,494 $11,163,869"
"43       Rublev, Andrey                                 $1,170,921 $1,029,862    $141,059   $2,868,821"
"44       Simon, Gilles                                  $1,159,829 $1,141,864     $17,965 $13,635,351"
""
"Page 1 of 100                       Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                     YTD     Singles     Doubles           Career"
"45       Pavic, Mate                                    $1,132,837            $0 $1,132,837       $2,226,803"
"46       Marach, Oliver                                 $1,108,340            $0 $1,108,340       $3,913,323"
"47       Kyrgios, Nick                                  $1,102,012    $1,040,332    $61,680       $6,616,904"
"48       Fucsovics, Marton                              $1,093,641    $1,041,076    $52,565       $1,753,975"
"49       Johnson, Steve                                 $1,089,134      $953,195   $135,939       $5,320,644"
"50       Mayer, Leonardo                                $1,081,273      $938,351   $142,922       $5,866,207"
"51       Tiafoe, Frances                                $1,079,147    $1,026,059    $53,088       $1,928,379"
"52       Zverev, Mischa                                 $1,071,005      $888,180   $182,825       $5,186,537"
"53       Paire, Benoit                                  $1,056,836      $988,183    $68,653       $6,235,823"
"54       Seppi, Andreas                                 $1,052,192      $976,776    $75,416       $9,821,519"
"55       Millman, John                                  $1,021,405      $971,320    $50,085       $2,398,616"
"56       Chardy, Jeremy                                 $1,019,815      $952,070    $67,745       $8,113,032"
"57       Ramos-Vinolas, Albert                          $1,003,239      $928,421    $74,818       $6,428,963"
"58       Jaziri, Malek                                    $998,535      $887,186   $111,349       $3,392,585"
"59       Mahut, Nicolas                                   $996,063      $239,462   $756,601       $9,775,328"
"60       Lajovic, Dusan                                   $969,301      $921,383    $47,918       $3,277,158"
"61       Ebden, Matthew                                   $961,714      $871,765    $89,949       $2,932,255"
"62       Jarry, Nicolas                                   $957,751      $799,214   $158,537       $1,256,286"
"63T      Kubot, Lukasz                                    $917,590            $0   $917,590       $7,366,775"
"63T      Melo, Marcelo                                    $917,590            $0   $917,590       $6,166,742"
"65T      Cabal, Juan Sebastian                            $894,527            $0   $894,527       $2,621,333"
"65T      Farah, Robert                                    $894,527            $0   $894,527       $2,319,717"
"67       Gojowczyk, Peter                                 $881,945      $848,398    $33,547       $2,051,145"
"68       Pella, Guido                                     $879,596      $799,757    $79,839       $2,772,383"
"69       Fritz, Taylor                                    $870,031      $832,246    $37,785       $1,838,709"
"70       Sandgren, Tennys                                 $865,275      $808,871    $56,404       $1,344,061"
"71       Kukushkin, Mikhail                               $864,890      $852,741    $12,149       $4,527,909"
