,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
1,"Federer, Roger","$95,245,556","$6,634,017","$6,624,892","$9,125"
2,"Djokovic, Novak","$89,164,053 $16,760,145 $16,706,125",,,"$54,020"
3,"Nadal, Rafael","$74,655,125","$3,275,888","$3,188,513","$87,375"
4,"Sampras, Pete","$43,280,489",$0,$0,$0
5,"Murray, Andy","$40,676,316","$6,486,230","$6,456,153","$30,077"
6,"Agassi, Andre","$31,152,975",$0,$0,$0
7,"Ferrer, David","$27,798,864","$3,065,755","$3,043,627","$22,128"
8,"Becker, Boris","$25,080,956",$0,$0,$0
9,"Kafelnikov, Yevgeny","$23,883,797",$0,$0,$0
10,"Berdych, Tomas","$23,177,551","$3,128,082","$3,090,921","$37,161"
11,"Lendl, Ivan","$21,262,417",$0,$0,$0
12,"Hewitt, Lleyton","$20,717,156","$264,279","$212,068","$52,211"
13,"Roddick, Andy","$20,640,030","$2,640",$0,"$2,640"
14,"Edberg, Stefan","$20,630,941",$0,$0,$0
15,"Ivanisevic, Goran","$19,878,007",$0,$0,$0
16,"Wawrinka, Stan","$19,736,676","$5,336,877","$5,299,265","$37,612"
17,"Chang, Michael","$19,145,632",$0,$0,$0
18,"Tsonga, Jo-Wilfried","$16,436,474","$1,963,690","$1,936,220","$27,470"
19,"Davydenko, Nikolay","$16,186,480",$0,$0,$0
20,"Del Potro, Juan Martin","$15,369,422","$23,475","$23,475",$0
21,"Kuerten, Gustavo","$14,807,000",$0,$0,$0
22,"Bjorkman, Jonas","$14,610,671",$0,$0,$0
23,"Safin, Marat","$14,373,291",$0,$0,$0
24,"Courier, Jim","$14,034,132",$0,$0,$0
25,"Ferrero, Juan Carlos","$13,992,895",$0,$0,$0
26,"Moya, Carlos","$13,443,970",$0,$0,$0
27,"Cilic, Marin","$13,380,332","$2,063,576","$2,033,973","$29,603"
28,"Haas, Tommy","$13,313,605","$201,072","$183,560","$17,512"
29,"Bryan, Bob","$13,301,074","$702,722",$0,"$702,722"
30,"Gasquet, Richard","$13,109,902","$2,146,835","$2,136,995","$9,840"
31,"Bryan, Mike","$13,075,894","$706,465",$0,"$706,465"
32,"Youzhny, Mikhail","$12,806,538","$442,517","$405,766","$36,751"
33,"Robredo, Tommy","$12,787,213","$746,317","$714,706","$31,611"
34,"Stich, Michael","$12,595,128",$0,$0,$0
35,"McEnroe, John","$12,552,132",$0,$0,$0
36,"Muster, Thomas","$12,266,977",$0,$0,$0
37,"Verdasco, Fernando","$12,245,234","$819,607","$745,137","$74,470"
38,"Nestor, Daniel","$12,089,606","$488,767",$0,"$488,767"
39,"Henman, Tim","$11,635,542",$0,$0,$0
40,"Bruguera, Sergi","$11,632,199",$0,$0,$0
41,"Lopez, Feliciano","$11,201,822","$1,542,755","$1,350,027","$192,728"
42,"Rafter, Patrick","$11,133,128",$0,$0,$0
43,"Nalbandian, David","$11,123,125",$0,$0,$0
44,"Mirnyi, Max","$11,035,168","$246,257",$0,"$246,257"
Page 1 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
45,"Nishikori, Kei","$10,735,625","$2,712,055","$2,702,325","$9,730"
46,"Stepanek, Radek","$10,645,526","$328,016","$241,037","$86,979"
47,"Simon, Gilles","$10,510,871","$1,475,856","$1,437,081","$38,775"
48,"Enqvist, Thomas","$10,461,641",$0,$0,$0
49,"Korda, Petr","$10,448,900",$0,$0,$0
50,"Soderling, Robin","$10,423,124",$0,$0,$0
51,"Corretja, Alex","$10,411,354",$0,$0,$0
52,"Ljubicic, Ivan","$10,181,121",$0,$0,$0
53,"Woodbridge, Todd","$10,078,820",$0,$0,$0
54,"Krajicek, Richard","$10,077,425",$0,$0,$0
55,"Santoro, Fabrice","$10,013,832",$0,$0,$0
56,"Ferreira, Wayne","$9,969,617",$0,$0,$0
57,"Melzer, Jurgen","$9,734,956","$358,460","$271,587","$86,873"
58,"Rios, Marcelo","$9,713,771",$0,$0,$0
59,"Almagro, Nicolas","$9,558,871","$437,670","$388,306","$49,364"
60,"Monfils, Gael","$9,328,600","$1,069,706","$1,033,015","$36,691"
61,"Rusedski, Greg","$8,944,841",$0,$0,$0
62,"Gonzalez, Fernando","$8,862,276",$0,$0,$0
63,"Isner, John","$8,834,246","$1,776,682","$1,699,342","$77,340"
64,"Raonic, Milos","$8,806,174","$1,493,503","$1,482,983","$10,520"
65,"Connors, Jimmy","$8,641,040",$0,$0,$0
66,"Kohlschreiber, Philipp","$8,555,984","$775,355","$761,540","$13,815"
67,"Woodforde, Mark","$8,551,305",$0,$0,$0
68,"Llodra, Michael","$8,533,350",$0,$0,$0
69,"Martin, Todd","$8,232,355",$0,$0,$0
70,"Grosjean, Sebastien","$8,131,803",$0,$0,$0
71,"Paes, Leander","$8,115,868","$196,484",$0,"$196,484"
72,"Blake, James","$7,981,786",$0,$0,$0
73,"Wilander, Mats","$7,956,101",$0,$0,$0
74,"Zimonjic, Nenad","$7,893,606","$479,884",$0,"$479,884"
75,"Haarhuis, Paul","$7,751,962",$0,$0,$0
76,"Nieminen, Jarkko","$7,743,345","$382,821","$353,966","$28,855"
77,"Costa, Albert","$7,685,228",$0,$0,$0
78,"Benneteau, Julien","$7,674,742","$118,644","$74,679","$43,965"
79,"Novak, Jiri","$7,618,613",$0,$0,$0
80,"Tipsarevic, Janko","$7,529,804","$182,799","$132,732","$50,067"
81,"Monaco, Juan","$7,524,038","$605,772","$548,046","$57,726"
82,"Kiefer, Nicolas","$7,480,465",$0,$0,$0
83,"Fish, Mardy","$7,460,641","$125,280","$110,245","$15,035"
84,"Seppi, Andreas","$7,445,187","$1,110,625","$1,028,401","$82,224"
85,"Schuettler, Rainer","$7,407,508",$0,$0,$0
86,"Granollers, Marcel","$7,267,409","$707,079","$515,242","$191,837"
87,"Johansson, Thomas","$7,168,029",$0,$0,$0
88,"Clement, Arnaud","$7,125,228",$0,$0,$0
Page 2 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
89,"Hrbaty, Dominik","$7,070,095",$0,$0,$0
90,"Fognini, Fabio","$7,068,340","$1,779,408","$1,200,275","$579,133"
91,"Knowles, Mark","$7,058,483",$640,$0,$640
92,"Philippoussis, Mark","$6,987,402","$2,200",$0,"$2,200"
93,"Pioline, Cedric","$6,921,029",$0,$0,$0
94,"Karlovic, Ivo","$6,847,624","$1,125,290","$1,097,622","$27,668"
95,"Rosset, Marc","$6,812,693",$0,$0,$0
96,"Medvedev, Andrei","$6,721,560",$0,$0,$0
97,"Baghdatis, Marcos","$6,652,563","$606,952","$591,440","$15,512"
98,"Bhupathi, Mahesh","$6,634,220","$24,690",$0,"$24,690"
99,"Chela, Juan Ignacio","$6,572,494",$0,$0,$0
100,"Anderson, Kevin","$6,556,934","$1,874,052","$1,790,131","$83,921"
101,"Querrey, Sam","$6,460,797","$715,497","$526,081","$189,416"
102,"Lapentti, Nicolas","$6,313,898",$0,$0,$0
103,"Garcia-Lopez, Guillermo","$6,095,008","$1,052,342","$949,400","$102,942"
104,"Gaudio, Gaston","$6,066,156",$0,$0,$0
105,"Coria, Guillermo","$5,915,620",$0,$0,$0
106,"Hlasek, Jakob","$5,890,993",$0,$0,$0
107,"Larsson, Magnus","$5,839,451",$0,$0,$0
108,"Troicki, Viktor","$5,837,489","$1,179,128","$1,079,166","$99,962"
109,"Dimitrov, Grigor","$5,825,196","$1,001,679","$968,788","$32,891"
110,"Gulbis, Ernests","$5,739,223","$618,280","$595,540","$22,740"
111,"Damm, Martin","$5,735,972",$0,$0,$0
112,"Malisse, Xavier","$5,694,825",$108,$0,$108
113,"Chardy, Jeremy","$5,675,992","$1,143,921","$991,908","$152,013"
